image_name,noise_type,noise_level,1,2,4,5,6,7,8,10,11,13,15,16,18,19,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,47,48,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,66,67,68,69,70,71,72,73,74,75,76,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,102,103,105,107,108,109,110,111,112,115,116,119,120,121,122,123,124,126,127,128,129,130,131,132,133,135,136,137,139,140,141,142,143,144,145,146,147,148,149,150,151,152,183,184,185,186,187,188,189,190,191,192,193,194,195,airplane,bear,bicycle,bird,boat,bottle,car,cat,chair,clock,dog,elephant,keyboard,knife,oven,truck,category
n01514859_3837,phase,80,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,3.503590749977218e-05,0.0988333680862383,0.0053569575604288,0.7385044850423901,0.0004418746394357,0.0061296494561142,0.0030091133145027,0.0329004419669589,0.0106960141437651,0.0011061461542895,0.0726904182926184,0.024810790017892,9.365934169319896e-05,0.0014347621465023,0.0002160587054611,0.0037412252242094,3
n01514859_3837,phase,95,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,0.000256999145329,0.1273447404439598,0.0247633674899296,0.4402130938274974,0.0053513517865331,0.0103102447569088,0.0048718055187703,0.1018694321730244,0.0220930284926102,0.0037178969958099,0.0725162878004717,0.1739798351365704,0.0004733334135397,0.0047352032398263,0.0007125975389418,0.0067907822402768,3
n01514859_3837,phase,110,3.0,,,,,,,,,,,,,,,,,,,,,,10.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0018269695773141,0.1003241664133587,0.0394497879014246,0.3899875683309227,0.0152028671464653,0.0062222614706765,0.0117797099370971,0.0451206431120068,0.0230451150146389,0.0087064097013006,0.1035780894781408,0.2148367321426625,0.0012354022013762,0.0148748673503123,0.0003741235336752,0.023435286688627,3
n01514859_3837,phase,125,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,0.0107194460958966,0.0714850200748054,0.0252935163523094,0.2475985755799501,0.0466524514724973,0.0125130867793902,0.0160296556337379,0.0296059378161783,0.063669510033123,0.0388310936117818,0.2088254912793269,0.1231516023196216,0.0056246819332593,0.0670986921881195,0.0006534513013823,0.0322477875286195,3
n01514859_8222,phase,80,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,0.0009720805395972,0.0144400650526896,0.0008138795954822,0.5771984588114515,0.0010593603722801,0.0011672311066465,0.001212070144524,0.0398116322347282,0.001265790834259,0.0028812596851348,0.3387289962075998,0.0168791041814136,0.0004296260337392,0.0008708289890749,0.0008706496790809,0.001398966532298,3
n01514859_8222,phase,95,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,0.0026022525068699,0.08974895065067,0.0040012506473902,0.0788562872705025,0.0074684728404782,0.003595293901075,0.0024844889717179,0.3461324984504115,0.0100543535434314,0.0065905580769204,0.3062510348868436,0.1353596049246505,0.0018652876690697,0.0023444283476709,0.0012531050020464,0.0013921323102513,3
n01514859_8222,phase,110,,,,,,,,,3.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0004694606221222,0.0408173917644931,0.0013150374767058,0.009390905863058,0.005688758478465,0.0040181894210879,0.0006550430997167,0.6802406265324171,0.0077171929062716,0.0053932683637792,0.1075742268896736,0.1284624402917798,0.0014957680907793,0.004234964564124,0.0015519078018214,0.0009748178337046,3
n01514859_8222,phase,125,,,,,,,,,3.0,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,0.0006302903366516,0.0593515855184309,0.0008458793674741,0.008756208780112,0.0103756352951596,0.0035965797301324,0.0009246185873429,0.6645119402608519,0.0083998019450255,0.0067680390225717,0.1924861181068187,0.0167431990732408,0.0040864873961634,0.0182575574702383,0.0031311349173584,0.0011349241924272,3
n01530575_3903,phase,80,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1247128859019195e-07,0.0025915734858604,4.1609860285560045e-06,0.9880797372251396,4.246547495943086e-06,0.0001224692282811,6.003716959981588e-06,0.0053491795324479,0.0002118923868568,2.4094607756418085e-05,0.0025838541740105,0.0008055999393279,9.709751893655247e-06,5.1637423280123e-05,6.872344395332758e-05,8.7005079418645e-05,3
n01530575_3903,phase,95,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.490759036867209e-05,0.4160584879594631,0.0032113534167594,0.2369270435488092,0.0044407591214569,0.0025589326837387,0.0039070337222431,0.1785142188230856,0.0221187524661503,0.0133183343008931,0.0631045783786924,0.0344227256222641,0.0018955985417205,0.0071261803002669,0.0030115472518017,0.0093295462722857,3
n01530575_3903,phase,110,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,0.0001039147203891,0.1203895307201509,0.0032622688556772,0.3850580721526228,0.0082054579752063,0.0109387693101795,0.0047342220126661,0.1462511038693316,0.0090089759171886,0.0115454542920703,0.0796198042618317,0.186937183825004,0.0017494670308111,0.0279802891359573,0.000659602204177,0.0035558837167357,3
n01530575_3903,phase,125,,,,,,,,,,,,,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0002784051009684,0.0697919111520611,0.0016297927283009,0.1469002727494206,0.0045366159106226,0.0786930102186626,0.0030059339101252,0.1036794059766181,0.0128827478731945,0.0195640709091936,0.3290890937910335,0.1568594663690761,0.0048740592917949,0.0652318596236268,0.0004730779078864,0.0025102764874136,3
n01531178_2725,phase,80,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,0.000262613754824,0.104654094603751,0.0001214688537189,0.4521860469114581,0.0017730706394542,0.002057688722961,0.0001645154361751,0.0329987293227184,0.0013916858320794,0.002496473071085,0.26142673542195,0.1358515117588808,0.0004515185751001,0.0033316588431442,0.0004638072861082,0.0003683809665909,3
n01531178_2725,phase,95,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,0.0001451091482107,0.1985242855170234,0.0001035958069182,0.027024081070729,0.0030841136848648,0.0007806986616944,0.0001473590177093,0.128898989373779,0.0009402979204751,0.0015481838636598,0.5951013424891357,0.0392556616444136,0.0003622465116887,0.0017586271139286,0.0014510604328073,0.0008743477429618,3
n01531178_2725,phase,110,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001593232713889,0.1801075356686909,0.0002689138176847,0.0058826095795466,0.0008942605195326,0.0009088526186834,0.0001542653909212,0.3806174962988388,0.0013497480084656,0.0010761323910034,0.371445551386385,0.0516859743228,0.0005495502192728,0.0015091186888553,0.0016907292731987,0.0016999385447312,3
n01531178_2725,phase,125,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,0.0002852178055751,0.0665065918342303,0.0004165618670268,0.0028827180785257,0.0007044376405782,0.0012434858879116,0.0001431110274453,0.2174450814254781,0.0016459879372492,0.0011593922894835,0.6323476130936593,0.0681608040195596,0.0005447031633394,0.0017937233133391,0.0020980641284186,0.0026225064881797,3
n01537544_8859,phase,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,3.0,1.1805597726260666e-05,1.1193369236515857e-05,6.737990693057763e-06,0.9988214750764988,2.947332151968098e-06,4.0448923445588175e-05,4.581128163028888e-06,2.325439363334453e-05,0.000343291993846,2.3961881061777728e-05,0.0005069188231524,1.2580146304005396e-05,2.788706014234989e-06,0.0001744733517144,8.635487094836753e-06,4.905799263685636e-06,3
n01537544_8859,phase,95,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,1.8520170815693037e-05,5.8724050765978514e-05,1.3957471606521134e-05,0.9978853330480564,7.442267007048995e-06,0.0001009289869715,6.489533750152723e-06,6.263196157393214e-05,0.0004074043734487,3.459891602577875e-05,0.000976131673113,9.097813137805948e-05,2.7540038930666906e-06,0.0003252582222534,4.76856819638796e-06,4.078621144352935e-06,3
n01537544_8859,phase,110,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,0.0003339169276716,0.1083275912591343,0.0027969574755843,0.0227528909264115,0.009869002155304,0.045869599838179,0.0012375699224304,0.049767337468937,0.1046923879921496,0.0271348844700322,0.1011846372662769,0.1313724380868462,0.0013556873716528,0.3908464611220156,0.0011497419446633,0.0013088957727107,3
n01537544_8859,phase,125,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,0.0005126749475933,0.0156334365241904,0.0011587966981302,0.0077091538584935,0.0058060420386734,0.0202222783618831,0.0029983724864469,0.0398786827063185,0.0861079835681351,0.0912502782172489,0.0629593873221341,0.0132742404609058,0.0097590107467704,0.6397881660467858,0.0012889346909341,0.0016525613253558,3
n01558993_12968,phase,80,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,8.593366554433633e-07,4.444169304421428e-06,2.958197200283552e-06,0.9995650007083844,5.114234366904864e-07,1.8148930747323543e-05,1.5422559070545664e-06,1.024435274809458e-05,5.536149099822833e-05,7.587200855037904e-05,7.968473445109528e-05,1.045878826585927e-06,1.9174345049071404e-06,0.0001802282275022,1.595550692324594e-06,5.853000904730342e-07,3
n01558993_12968,phase,95,,,,,,,,,,,,,,,,3.0,,,,,,,,,,3.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.279063669621944e-06,1.0251303203189492e-05,4.823838901749325e-06,0.9970318440559108,3.707274114881041e-06,5.644646237709562e-05,6.042769142862624e-06,8.569431120050837e-05,0.0001289638721646,0.0003198995664972,0.0011663615876768,7.131273020021127e-06,5.899040018591087e-06,0.0011640069149506,3.693894989268911e-06,2.9547721622331925e-06,3
