human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7051,0.5674,0.7739,0.897,0.8958,0.9749,0.8779,0.9929,0.9627
0.7051,0.5674,0.7739,0.897,0.8958,0.9749,0.8771,0.9929,0.9627
0.7051,0.5674,0.7738,0.897,0.8958,0.9749,0.8779,0.9929,0.9628
0.7051,0.5674,0.7739,0.897,0.8958,0.975,0.8809,0.9929,0.9627
0.7051,0.5674,0.7738,0.897,0.8958,0.975,0.8765,0.9929,0.9626
0.7051,0.5674,0.7822,0.897,0.8962,0.9749,0.873,0.9929,0.9626
0.7051,0.5674,0.7739,0.897,0.8958,0.9749,0.8818,0.9929,0.9626
0.7051,0.5674,0.7738,0.897,0.8958,0.9749,0.8764,0.9929,0.9626
0.7051,0.5674,0.7738,0.897,0.8958,0.9749,0.8773,0.9929,0.9625
0.7051,0.5674,0.7737,0.897,0.8958,0.9748,0.8774,0.9929,0.9626
