human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.8026,0.5674,0.8323,0.922,0.9244,0.968,0.9122,0.9982,0.9678
0.8026,0.5674,0.8323,0.922,0.9244,0.968,0.9116,0.9982,0.9678
0.8026,0.5674,0.8324,0.922,0.9244,0.968,0.9077,0.9982,0.9677
0.8026,0.5674,0.8324,0.922,0.9244,0.968,0.9094,0.9982,0.9678
0.8026,0.5674,0.8323,0.922,0.9244,0.968,0.9081,0.9982,0.9678
0.8026,0.5674,0.8324,0.922,0.9244,0.968,0.9074,0.9982,0.9677
0.8026,0.5674,0.8325,0.9221,0.9245,0.968,0.9103,0.9982,0.9679
0.8026,0.5674,0.8323,0.922,0.9244,0.968,0.9102,0.9982,0.9678
0.8026,0.5674,0.8324,0.922,0.9244,0.9681,0.908,0.9982,0.9678
0.8026,0.5674,0.8323,0.922,0.9244,0.968,0.9109,0.9982,0.9678
