human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.796,0.5674,0.828,0.9002,0.9013,0.9662,0.8594,0.9905,0.9493
0.796,0.5674,0.828,0.9001,0.9012,0.9662,0.8562,0.9905,0.9493
0.796,0.5674,0.828,0.9002,0.9013,0.9662,0.8624,0.9905,0.9493
0.796,0.5674,0.828,0.9002,0.9013,0.9662,0.8616,0.9905,0.9493
0.796,0.5674,0.828,0.9002,0.9013,0.9662,0.8585,0.9905,0.9493
0.796,0.5674,0.828,0.9002,0.9013,0.9662,0.864,0.9905,0.9493
0.796,0.5674,0.828,0.9002,0.9013,0.9662,0.8519,0.9905,0.9493
0.796,0.5674,0.828,0.9002,0.9013,0.9662,0.8589,0.9905,0.9493
0.796,0.5674,0.8279,0.9002,0.9013,0.9662,0.8586,0.9905,0.9493
0.796,0.5674,0.828,0.9002,0.9013,0.9662,0.8566,0.9905,0.9493
