human,model,pseudo_lb,pomc,eamc,linear_program,check_all
0.9429,0.5674,0.9858,0.8842,0.9712,0.9208,0.9982
0.9429,0.5674,0.9858,0.8823,0.9693,0.9207,0.9982
0.9429,0.5674,0.9858,0.8799,0.9703,0.9213,0.9982
0.9429,0.5674,0.9858,0.881,0.9707,0.9206,0.9982
0.9429,0.5674,0.9858,0.8866,0.9715,0.921,0.9982
0.9429,0.5674,0.9858,0.8863,0.97,0.921,0.9982
0.9429,0.5674,0.9858,0.8833,0.9702,0.921,0.9982
0.9429,0.5674,0.9858,0.8862,0.9715,0.9213,0.9982
0.9429,0.5674,0.9858,0.8844,0.9686,0.9211,0.9982
0.9429,0.5674,0.9858,0.8855,0.9713,0.9199,0.9982
