human,model,pseudo_lb,pomc,eamc,linear_program,check_all
0.9429,0.5674,0.9876,0.8525,0.9326,0.6723,0.9987
0.9429,0.5674,0.9896,0.8495,0.9374,0.671,0.9978
0.9429,0.5674,0.9882,0.8611,0.9392,0.6726,0.998
0.9429,0.5674,0.985,0.8488,0.9358,0.6569,0.9979
0.9429,0.5674,0.9857,0.8456,0.9342,0.5881,0.9977
0.9429,0.5674,0.9843,0.8548,0.9385,0.6467,0.9976
0.9429,0.5674,0.988,0.8548,0.9366,0.6977,0.9981
0.9429,0.5674,0.9873,0.8564,0.9436,0.6803,0.9972
0.9429,0.5674,0.9882,0.8538,0.9342,0.6685,0.9979
0.9429,0.5674,0.9887,0.8568,0.9388,0.6314,0.9982
