human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7051,0.5674,0.7583,0.8813,0.8813,0.9561,0.8541,0.994,0.9399
0.7051,0.5674,0.7708,0.9091,0.9108,0.954,0.8567,0.9932,0.9271
0.7051,0.5674,0.7722,0.9085,0.9095,0.9557,0.8553,0.9904,0.9245
0.7051,0.5674,0.7548,0.8904,0.8899,0.9546,0.8552,0.9942,0.9209
0.7051,0.5674,0.7563,0.8931,0.8935,0.9549,0.8517,0.9912,0.9104
0.7051,0.5674,0.7571,0.8978,0.8983,0.9555,0.8542,0.9933,0.9384
0.7051,0.5674,0.7578,0.8991,0.8995,0.9564,0.8525,0.9912,0.9292
0.7051,0.5674,0.7575,0.8965,0.8968,0.9524,0.8501,0.9933,0.9
0.7051,0.5674,0.7582,0.8994,0.9007,0.9539,0.8569,0.9912,0.9188
0.7051,0.5674,0.7528,0.8971,0.8966,0.9563,0.8561,0.9937,0.9345
