human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.8026,0.5674,0.8245,0.9104,0.9121,0.925,0.9033,0.9981,0.9677
0.8026,0.5674,0.8255,0.9167,0.918,0.9261,0.8983,0.998,0.9648
0.8026,0.5674,0.8214,0.909,0.9104,0.9242,0.9013,0.9984,0.9568
0.8026,0.5674,0.8008,0.9064,0.9083,0.9222,0.8971,0.9983,0.967
0.8026,0.5674,0.8314,0.9168,0.9198,0.9256,0.8979,0.9985,0.9651
0.8026,0.5674,0.8382,0.9453,0.9472,0.9348,0.8992,0.9983,0.9618
0.8026,0.5674,0.8213,0.9053,0.9064,0.9242,0.9009,0.998,0.9702
0.8026,0.5674,0.7491,0.9013,0.9039,0.9267,0.8939,0.9975,0.9721
0.8026,0.5674,0.7984,0.9087,0.9112,0.9258,0.9038,0.9982,0.9673
0.8026,0.5674,0.8238,0.9101,0.9126,0.9254,0.9034,0.9974,0.9724
