human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.796,0.5674,0.8196,0.8966,0.8983,0.9563,0.8433,0.9897,0.946
0.796,0.5674,0.8203,0.8961,0.8974,0.9557,0.8518,0.9898,0.9431
0.796,0.5674,0.8198,0.8953,0.8974,0.9551,0.8481,0.9904,0.9383
0.796,0.5674,0.8182,0.898,0.8982,0.9562,0.8472,0.9899,0.9412
0.796,0.5674,0.8246,0.9024,0.9031,0.9559,0.8438,0.9909,0.94
0.796,0.5674,0.8239,0.8972,0.8989,0.9569,0.8526,0.9907,0.9457
0.796,0.5674,0.8218,0.8975,0.8995,0.9573,0.8489,0.9912,0.9423
0.796,0.5674,0.8199,0.8944,0.8961,0.9577,0.853,0.9898,0.9437
0.796,0.5674,0.821,0.8991,0.9003,0.958,0.847,0.9906,0.9358
0.796,0.5674,0.8228,0.9003,0.9012,0.9551,0.8495,0.9913,0.9348
