human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.8021,0.5674,0.8252,0.9386,0.939,0.3438,0.8497,0.9997,0.9908
0.8021,0.5674,0.8089,0.9289,0.9292,0.3555,0.8509,0.9998,0.9941
0.8021,0.5674,0.782,0.9265,0.9269,0.3503,0.8491,0.9997,0.9893
0.8021,0.5674,0.811,0.9391,0.9393,0.3455,0.852,0.9998,0.9937
0.8021,0.5674,0.8126,0.939,0.9393,0.3533,0.8526,0.9998,0.9946
0.8021,0.5674,0.8308,0.9529,0.9533,0.3467,0.8534,1.0,0.9911
0.8021,0.5674,0.8209,0.9377,0.938,0.3461,0.847,0.9997,0.9934
0.8021,0.5674,0.8164,0.9395,0.9397,0.3487,0.8512,0.9997,0.994
0.8021,0.5674,0.8082,0.9252,0.9256,0.3515,0.8514,0.9996,0.9928
0.8021,0.5674,0.826,0.9342,0.9347,0.3488,0.8424,0.9996,0.9948
