human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7051,0.5674,0.7583,0.7531,0.7522,0.9561,0.8572,0.5874,0.9455
0.7051,0.5674,0.7628,0.7617,0.7615,0.9555,0.8496,0.5916,0.9333
0.7051,0.5674,0.7603,0.7602,0.76,0.954,0.8581,0.5867,0.9379
0.7051,0.5674,0.7612,0.77,0.7697,0.957,0.8625,0.5839,0.9516
0.7051,0.5674,0.7688,0.7676,0.7675,0.9526,0.8569,0.5894,0.9454
0.7051,0.5674,0.76,0.7546,0.7546,0.9555,0.8568,0.5799,0.9468
0.7051,0.5674,0.76,0.7591,0.7593,0.9529,0.8502,0.5868,0.9401
0.7051,0.5674,0.7547,0.7542,0.7545,0.9536,0.8479,0.5857,0.9356
0.7051,0.5674,0.7703,0.7681,0.7683,0.9555,0.8574,0.5877,0.9448
0.7051,0.5674,0.7561,0.7652,0.7651,0.951,0.8506,0.5756,0.9367
