human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.796,0.5674,0.828,0.8281,0.8283,0.9662,0.8546,0.5646,0.9656
0.796,0.5674,0.828,0.8281,0.8283,0.9662,0.8551,0.5647,0.9656
0.796,0.5674,0.8279,0.828,0.8282,0.9661,0.8568,0.5647,0.9656
0.796,0.5674,0.828,0.8281,0.8283,0.9662,0.8582,0.5646,0.9656
0.796,0.5674,0.828,0.8281,0.8283,0.9662,0.8597,0.5647,0.9656
0.796,0.5674,0.828,0.8281,0.8283,0.9662,0.8568,0.5647,0.9656
0.796,0.5674,0.828,0.8282,0.8283,0.9662,0.8595,0.5647,0.9656
0.796,0.5674,0.828,0.8281,0.8283,0.9662,0.8631,0.5647,0.9656
0.796,0.5674,0.828,0.8281,0.8283,0.9662,0.862,0.5647,0.9656
0.796,0.5674,0.8279,0.828,0.8282,0.9662,0.8617,0.5647,0.9656
