human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.8021,0.5674,0.8252,0.8236,0.8235,0.3438,0.8436,0.3818,0.53
0.8021,0.5674,0.8227,0.8204,0.8202,0.3482,0.8502,0.3763,0.537
0.8021,0.5674,0.8296,0.8271,0.8271,0.3457,0.8485,0.3711,0.5225
0.8021,0.5674,0.8102,0.8256,0.8256,0.3436,0.847,0.4505,0.6229
0.8021,0.5674,0.8323,0.8315,0.8317,0.3444,0.8498,0.3522,0.4768
0.8021,0.5674,0.8298,0.8285,0.8284,0.3492,0.8512,0.3296,0.4579
0.8021,0.5674,0.8143,0.8141,0.8142,0.3452,0.8518,0.3843,0.5479
0.8021,0.5674,0.8178,0.8168,0.817,0.3369,0.8394,0.3383,0.4658
0.8021,0.5674,0.824,0.823,0.8231,0.353,0.8531,0.3583,0.496
0.8021,0.5674,0.811,0.8233,0.8236,0.3518,0.8504,0.3924,0.5654
