human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7051,0.5674,0.7739,0.7815,0.7816,0.9749,0.8809,0.5674,0.9735
0.7051,0.5674,0.7738,0.7815,0.7816,0.9749,0.8743,0.5674,0.9735
0.7051,0.5674,0.7738,0.7815,0.7816,0.9749,0.8755,0.5674,0.9735
0.7051,0.5674,0.7738,0.7815,0.7816,0.9748,0.8789,0.5674,0.9734
0.7051,0.5674,0.7737,0.7816,0.7817,0.9749,0.8807,0.5674,0.9735
0.7051,0.5674,0.7738,0.7816,0.7817,0.9749,0.8769,0.5674,0.9735
0.7051,0.5674,0.7822,0.7816,0.7817,0.9749,0.8815,0.5674,0.9735
0.7051,0.5674,0.7738,0.7816,0.7817,0.9749,0.877,0.5674,0.9735
0.7051,0.5674,0.7738,0.7815,0.7816,0.9749,0.8799,0.5674,0.9735
0.7051,0.5674,0.7737,0.7814,0.7815,0.9749,0.8748,0.5674,0.9735
