human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.8026,0.5674,0.8245,0.8231,0.8232,0.925,0.9008,0.5751,0.9285
0.8026,0.5674,0.8031,0.8257,0.8259,0.9311,0.9024,0.5704,0.9319
0.8026,0.5674,0.815,0.8173,0.8175,0.9247,0.8976,0.583,0.932
0.8026,0.5674,0.7817,0.8174,0.8176,0.9272,0.9031,0.5733,0.934
0.8026,0.5674,0.8304,0.8297,0.8298,0.9222,0.9037,0.5697,0.9303
0.8026,0.5674,0.826,0.8257,0.8258,0.926,0.8983,0.5761,0.9348
0.8026,0.5674,0.7957,0.8184,0.8186,0.9267,0.8981,0.5803,0.9375
0.8026,0.5674,0.7992,0.8244,0.8242,0.926,0.9052,0.578,0.9341
0.8026,0.5674,0.7799,0.8236,0.824,0.9284,0.8959,0.5767,0.9353
0.8026,0.5674,0.7765,0.8233,0.8233,0.9219,0.8986,0.5686,0.9292
