human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.796,0.5674,0.8136,0.8109,0.8114,0.952,0.8379,0.5797,0.9431
0.796,0.5674,0.8211,0.8204,0.8204,0.9523,0.8377,0.5778,0.9412
0.796,0.5674,0.8177,0.8151,0.8164,0.9483,0.8405,0.5808,0.9386
0.796,0.5674,0.8144,0.8126,0.8137,0.9476,0.8325,0.5737,0.9402
0.796,0.5674,0.8091,0.8094,0.8086,0.9482,0.8415,0.5798,0.9413
0.796,0.5674,0.8171,0.8127,0.8154,0.9484,0.8423,0.5817,0.9396
0.796,0.5674,0.8128,0.811,0.8103,0.9433,0.8325,0.5803,0.9209
0.796,0.5674,0.7583,0.8025,0.8013,0.9471,0.8354,0.5813,0.9388
0.796,0.5674,0.8189,0.8173,0.8181,0.9464,0.8343,0.5767,0.9358
0.796,0.5674,0.8212,0.8206,0.8207,0.9504,0.8392,0.5773,0.9411
