human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.8021,0.5674,0.6777,0.8258,0.8258,0.4267,0.8991,0.3482,0.4939
0.8021,0.5674,0.8156,0.8171,0.8172,0.4205,0.9012,0.3517,0.4938
0.8021,0.5674,0.8185,0.8298,0.8299,0.441,0.8987,0.3467,0.5011
0.8021,0.5674,0.8272,0.8265,0.8264,0.4252,0.9055,0.3566,0.5084
0.8021,0.5674,0.7366,0.8216,0.8218,0.4198,0.9029,0.3381,0.4811
0.8021,0.5674,0.7205,0.8221,0.8223,0.4208,0.8955,0.3459,0.4968
0.8021,0.5674,0.8247,0.8232,0.8235,0.4125,0.8965,0.3692,0.5262
0.8021,0.5674,0.7941,0.8139,0.8141,0.4177,0.895,0.3416,0.4729
0.8021,0.5674,0.792,0.8106,0.8103,0.4192,0.8984,0.3305,0.4738
0.8021,0.5674,0.8143,0.8255,0.8254,0.4163,0.9001,0.3513,0.4895
